surface,method,path,sample_index,latency_ms,http_status
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,60,615.044,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,61,819.754,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,62,716.083,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,63,819.18,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,64,539.621,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,65,690.736,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,66,611.655,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,67,465.935,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,68,787.053,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,69,1001.293,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,70,369.284,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,71,441.297,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,72,346.568,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,73,802.453,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,74,446.755,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,75,869.946,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,76,851.918,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,77,580.54,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,78,921.435,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,79,524.926,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,80,908.845,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,81,818.695,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,82,716.344,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,83,583.102,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,84,893.474,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,85,878.821,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,86,819.49,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,87,575.26,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,88,755.246,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,89,819.671,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,90,511.659,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,91,576.864,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,92,650.699,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,93,686.057,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,94,542.307,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,95,614.314,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,96,674.243,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,97,862.532,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,98,818.164,429
draft save,PATCH,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/,99,513.468,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,0,612.608,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,1,615.027,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,2,536.998,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,3,538.799,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,4,766.653,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,5,595.875,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,6,611.557,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,7,681.052,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,8,415.885,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,9,665.359,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,10,715.853,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,11,614.779,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,12,443.362,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,13,406.877,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,14,730.347,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,15,734.117,429
